id_periodico,titulo_periodico,quantidade_volumes,edicao_mais_recente,url_submissao,url_instrucoes,data_obtencao_informacao
aa,Acta Amazonica,182 números,"2024, Volume: 54, Número: 2",http://mc04.manuscriptcentral.com/aa-scielo,https://www.scielo.br/journal/aa/about/,2024-04-07
aabc,Anais da Academia Brasileira de Ciências,98 números,"2024, Volume: 96, Número: 2",http://mc04.manuscriptcentral.com/aabc-scielo,https://www.scielo.br/journal/aabc/about/,2024-04-07
abb,Acta Botanica Brasilica,116 números,"2024, Volume: 38",http://mc04.manuscriptcentral.com/abb-scielo,https://www.scielo.br/journal/abb/about/,2024-04-07
abc,Arquivos Brasileiros de Cardiologia,319 números,"2024, Volume: 121, Número: 2",https://mc04.manuscriptcentral.com/abc-scielo,https://www.scielo.br/journal/abc/about/,2024-04-07
abcd,ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo),62 números,"2024, Volume: 37",https://www.gnpapers.com.br/abcd/,https://www.scielo.br/journal/abcd/about/,2024-04-07
abd,Anais Brasileiros de Dermatologia,130 números,"2024, Volume: 99, Número: 1",http://www.sgponline.com.br/abd/sgp/,https://www.scielo.br/journal/abd/about/,2024-04-07
abmvz,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,151 números,"2024, Volume: 76, Número: 2",http://mc04.manuscriptcentral.com/abmvz-scielo,https://www.scielo.br/journal/abmvz/about/,2024-04-07
abo,Arquivos Brasileiros de Oftalmologia,210 números,"2024, Volume: 87, Número: 6",http://mc04.manuscriptcentral.com/abo-scielo,https://www.scielo.br/journal/abo/about/,2024-04-07
ac,Ambiente Construído,58 números,"2024, Volume: 24",http://seer.ufrgs.br/index.php/ambienteconstruido,https://www.scielo.br/journal/ac/about/,2024-04-07
acb,Acta Cirúrgica Brasileira,214 números,"2024, Volume: 39",http://mc04.manuscriptcentral.com/acb-scielo,https://www.scielo.br/journal/acb/about/,2024-04-07
acr,Audiology - Communication Research,21 números,"2024, Volume: 29",http://mc04.manuscriptcentral.com/acr-scielo,https://www.scielo.br/journal/acr/about/,2024-04-07
acrep,Autopsy and Case Reports,8 números,"2024, Volume: 14",https://autopsy.submitcentral.com.br,https://www.scielo.br/journal/acrep/about/,2024-04-07
adr,Advances in Rheumatology,7 números,"2024, Volume: 64",https://www.editorialmanager.com/adrh,https://www.scielo.br/journal/adr/about/,2024-04-07
aem,Archives of Endocrinology and Metabolism,55 números,"2024, Volume: 68",http://mc04.manuscriptcentral.com/aem-scielo,https://www.scielo.br/journal/aem/about/,2024-04-07
ag,Arquivos de Gastroenterologia,98 números,"2024, Volume: 61",http://mc04.manuscriptcentral.com/ag-scielo,https://www.scielo.br/journal/ag/about/,2024-04-07
agora,Ágora: Estudos em Teoria Psicanalítica,54 números,"2024, Volume: 27",http://submission.scielo.br/index.php/agora/login,https://www.scielo.br/journal/agora/about/,2024-04-07
aib,Arquivos do Instituto Biológico,49 números,"2023, Volume: 90",http://mc04.manuscriptcentral.com/aib-scielo,https://www.scielo.br/journal/aib/about/,2024-04-07
alb,Acta Limnologica Brasiliensia,32 números,"2024, Volume: 36",http://submission.scielo.br/index.php/alb/login,https://www.scielo.br/journal/alb/about/,2024-04-07
alea,Alea: Estudos Neolatinos,51 números,"2024, Volume: 26, Número: 1",http://submission.scielo.br/index.php/alea/login,https://www.scielo.br/journal/alea/about/,2024-04-07
alfa,Alfa: Revista de Linguística (São José do Rio Preto),29 números,"2024, Volume: 68",http://seer.fclar.unesp.br/alfa/index,https://www.scielo.br/journal/alfa/about/,2024-04-07
alm,Almanack,35 números,"2023, Número: 35",https://periodicos.unifesp.br/index.php/alm,https://www.scielo.br/journal/alm/about/,2024-04-07
ambiagua,Revista Ambiente & Água,56 números,"2024, Volume: 19",http://mc04.manuscriptcentral.com/ambiagua-scielo,https://www.scielo.br/journal/ambiagua/about/,2024-04-07
anaismp,Anais do Museu Paulista: História e Cultura Material,43 números,"2023, Volume: 31",http://www.revistas.usp.br/anaismp,https://www.scielo.br/journal/anaismp/about/,2024-04-07
anp,Arquivos de Neuro-Psiquiatria,453 números,"2024, Volume: 82, Número: 2",http://mc04.manuscriptcentral.com/anp-scielo,https://www.scielo.br/journal/anp/about/,2024-04-07
aob,Acta Ortopédica Brasileira,130 números,"2024, Volume: 32, Número: 1",http://submission.scielo.br/index.php/aob/login,https://www.scielo.br/journal/aob/about/,2024-04-07
ape,Acta Paulista de Enfermagem,87 números,"2024, Volume: 37",http://mc04.manuscriptcentral.com/ape-scielo,https://www.scielo.br/journal/ape/about/,2024-04-07
ar,Animal Reproduction,20 números,"2024, Volume: 21, Número: 1",https://mc04.manuscriptcentral.com/ar-scielo,https://www.scielo.br/journal/ar/about/,2024-04-07
archai,Revista Archai,9 números,"2023, Volume: 33",https://impactum-journals.uc.pt/index.php/archai,https://www.scielo.br/journal/archai/about/,2024-04-07
ars,ARS (São Paulo),49 números,"2023, Volume: 21, Número: 49",http://www.revistas.usp.br/ars,https://www.scielo.br/journal/ars/about/,2024-04-07
asagr,Acta Scientiarum. Agronomy,47 números,"2024, Volume: 46",http://periodicos.uem.br/ojs/index.php/ActaSciAgron,https://www.scielo.br/journal/asagr/about/,2024-04-07
asas,Acta Scientiarum. Animal Sciences,34 números,"2024, Volume: 46",http://periodicos.uem.br/ojs/index.php/ActaSciAnimSci,https://www.scielo.br/journal/asas/about/,2024-04-07
asoc,Ambiente & Sociedade,53 números,"2023, Volume: 26",http://mc04.manuscriptcentral.com/asoc-scielo,https://www.scielo.br/journal/asoc/about/,2024-04-07
aval,Avaliação: Revista da Avaliação da Educação Superior (Campinas),49 números,"2023, Volume: 28",http://submission.scielo.br/index.php/aval/login,https://www.scielo.br/journal/aval/about/,2024-04-07
aws,Advances in Weed Science,3 números,"2023, Volume: 41",https://mc04.manuscriptcentral.com/aws-scielo,https://www.scielo.br/journal/aws/about/,2024-04-07
babt,Brazilian Archives of Biology and Technology,107 números,"2024, Volume: 67",http://mc04.manuscriptcentral.com/babt-scielo,https://www.scielo.br/journal/babt/about/,2024-04-07
bak,Bakhtiniana: Revista de Estudos do Discurso,42 números,"2024, Volume: 19, Número: 3",http://revistas.pucsp.br/index.php/bakhtiniana/index,https://www.scielo.br/journal/bak/about/,2024-04-07
bar,BAR - Brazilian Administration Review,73 números,"2024, Volume: 21, Número: 1",http://mc04.manuscriptcentral.com/bar-scielo,https://www.scielo.br/journal/bar/about/,2024-04-07
bbr,BBR. Brazilian Business Review,45 números,"2024, Volume: 21, Número: 2",http://mc04.manuscriptcentral.com/bbr-scielo,https://www.scielo.br/journal/bbr/about/,2024-04-07
bcg,Boletim de Ciências Geodésicas,55 números,"2024, Volume: 30",http://mc04.manuscriptcentral.com/bcg-scielo,https://www.scielo.br/journal/bcg/about/,2024-04-07
bdj,Brazilian Dental Journal,113 números,"2024, Volume: 35",http://mc04.manuscriptcentral.com/bdj-scielo,https://www.scielo.br/journal/bdj/about/,2024-04-07
bgoeldi,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,55 números,"2024, Volume: 19, Número: 1",http://mc04.manuscriptcentral.com/bgoeldi-scielo,https://www.scielo.br/journal/bgoeldi/about/,2024-04-07
bioet,Revista Bioética,36 números,"2023, Volume: 31",http://revistabioetica.cfm.org.br/index.php/revista_bioetica/index,https://www.scielo.br/journal/bioet/about/,2024-04-07
bja,Brazilian Journal of Anesthesiology,19 números,"2023, Volume: 73, Número: 6",https://www.editorialmanager.com/bjan/,https://www.scielo.br/journal/bja/about/,2024-04-07
bjb,Brazilian Journal of Biology,89 números,"2024, Volume: 84",http://submission.scielo.br/index.php/bjb/index,https://www.scielo.br/journal/bjb/about/,2024-04-07
bjft,Brazilian Journal of Food Technology,27 números,"2024, Volume: 27",http://mc04.manuscriptcentral.com/bjft-scielo,https://www.scielo.br/journal/bjft/about/,2024-04-07
bjgeo,Brazilian Journal of Geology,43 números,"2024, Volume: 54, Número: 1",http://mc04.manuscriptcentral.com/bjgeo-scielo,https://www.scielo.br/journal/bjgeo/about/,2024-04-07
bjid,Brazilian Journal of Infectious Diseases,138 números,"2024, Volume: 28, Número: 1",https://www.editorialmanager.com/BJID/,https://www.scielo.br/journal/bjid/about/,2024-04-07
bjmbr,Brazilian Journal of Medical and Biological Research,304 números,"2024, Volume: 57",http://mc04.manuscriptcentral.com/bjmbr-scielo,https://www.scielo.br/journal/bjmbr/about/,2024-04-07
bjorl,Brazilian Journal of Otorhinolaryngology,89 números,"2024, Volume: 90, Número: 1",https://www.editorialmanager.com/bjorl/Default.aspx,https://www.scielo.br/journal/bjorl/about/,2024-04-07
bjos,Brazilian Journal of Oral Sciences,16 números,"2024, Volume: 23",https://periodicos.sbu.unicamp.br/ojs/index.php/bjos/about/submissions,https://www.scielo.br/journal/bjos/about/,2024-04-07
